keyword,gender,age,country,region,level
木桐嘉棣/mouton cadet,m,9999,湖南,长沙,B
长城/greatwall ,m,56,香港,中西区,C
桃乐丝/torres,f,9999,福建,厦门,A
金蝴蝶/golden butterfly face,f,9999,广东,中山,C
干露/concha y toro ,f,9999,其他,其他,B
蒙大菲/robert mondavi,f,9999,北京,朝阳区,C
琴韵/melodiede l'accordeon,m,44,上海,徐汇区,C
琴韵/melodiede l'accordeon,m,44,上海,徐汇区,C
十字木桐,m,9999,广东,广州,A
君顶,f,9999,其他,其他,D
华东/huadong,m,9999,上海,黄浦区,C
小红帽/rotkappchen ,f,26,湖北,武汉,A
卓林/zonin,f,9999,北京,东城区,A
君顶,m,9999,北京,朝阳区,D
玛歌酒庄/chateau margaux,f,9999,其他,其他,B
木桐嘉棣/mouton cadet,m,9999,其他,其他,B
力士金,m,36,上海,虹口区,B
罗蒂/laudi,m,9999,广东,其他,A
加州乐事,m,41,广东,深圳,B
天阶/babylonstoren,m,9999,广东,佛山,A
天阶/babylonstoren,m,9999,广东,佛山,A
玛歌酒庄/chateau margaux,m,9999,其他,其他,B
天鹅庄,m,9999,其他,其他,C
红蔓庄园/tarapaca,f,9999,海外,其他,B
十字木桐,m,9999,其他,其他,A
天阶/babylonstoren,m,9999,广东,佛山,A
君顶,m,9999,福建,厦门,D
天阶/babylonstoren,m,9999,广东,佛山,A
罗莎庄园,f,9999,北京,东城区,C
华东/huadong,m,9999,上海,南汇区,C
蒙大菲/robert mondavi,f,9999,北京,其他,C
蒙大菲/robert mondavi,m,9999,上海,长宁区,C
黄尾袋鼠/yellow tail,f,9999,其他,其他,B
罗蒂/laudi,m,9999,广东,广州,A
玛歌酒庄/chateau margaux,m,9999,其他,其他,B
木桐古堡/ch. mouton rothschild,f,9999,其他,其他,D
干露/concha y toro ,m,9999,广东,深圳,B
吉家乐世家/e. guigal,f,9999,湖北,武汉,C
黄尾袋鼠/yellow tail,m,9999,其他,其他,B
舒特家族,f,9999,其他,其他,B
蒙特斯/montes ,m,9999,浙江,温州,A
华东/huadong,m,9999,上海,普陀区,C
金蝴蝶/golden butterfly face,m,31,广东,湛江,C
干露/concha y toro ,m,9999,江苏,苏州,B
华东/huadong,f,9999,其他,其他,C
玛歌酒庄/chateau margaux,m,9999,浙江,温州,B
小龙船,f,9999,其他,其他,A
天鹅庄,f,9999,河北,唐山,C
吉家乐世家/e. guigal,f,9999,北京,朝阳区,C
花思蝶/frescobaldi,f,31,上海,闸北区,B
路易城堡/chateau louis,f,9999,河南,郑州,B
罗马假日,f,9999,其他,其他,D
银色高地,m,9999,重庆,渝北区,A
路易亚都世家/louis jadot ,f,9999,广东,阳江,C
卓林/zonin,f,9999,北京,其他,A
蓝仙姑,m,9999,台湾,台北市,B
卡特尔,f,9999,北京,丰台区,A
酩悦/moet&amp;chandon,m,9999,广东,深圳,A
威赛帝斯,m,37,北京,朝阳区,B
威赛帝斯,m,9999,江苏,南京,B
尼德堡,f,9999,其他,其他,B
酩悦/moet&amp;chandon,f,9999,其他,其他,A
汉森/hansen,f,9999,上海,长宁区,A
威赛帝斯,m,9999,其他,其他,B
华东/huadong,m,9999,山东,青岛,C
加州乐事,m,37,上海,宝山区,B
拿戈卢/la gloire,f,35,福建,福州,A
桃乐丝/torres,m,9999,其他,其他,A
干露/concha y toro ,m,9999,其他,其他,B
露森/dr. loosen,m,9999,其他,其他,B
小龙船,f,9999,广东,中山,A
黄尾袋鼠/yellow tail,f,9999,江苏,南京,B
君顶,m,9999,广东,广州,D
黄尾袋鼠/yellow tail,f,9999,其他,其他,B
通天,f,9999,北京,朝阳区,B
君顶,f,9999,甘肃,武威,D
首彩/handpicked,f,9999,海外,泰国,A
首彩/handpicked,f,9999,海外,泰国,A
活灵魂/almaviva,m,28,浙江,宁波,B
活灵魂/almaviva,m,28,浙江,宁波,B
金蝴蝶/golden butterfly face,f,32,广东,广州,C
活灵魂/almaviva,m,28,浙江,宁波,B
木桐嘉棣/mouton cadet,f,9999,上海,其他,B
罗莎庄园,m,9999,北京,朝阳区,C
活灵魂/almaviva,m,28,浙江,宁波,B
小龙船,m,9999,北京,海淀区,A
罗马假日,f,9999,浙江,杭州,D
罗马假日,f,32,福建,福州,D
罗莎庄园,f,9999,其他,其他,C
罗莎庄园,f,9999,海外,澳大利亚,C
玛歌酒庄/chateau margaux,m,9999,其他,其他,B
长白山 ,m,31,江苏,苏州,A
活灵魂/almaviva,m,28,浙江,宁波,B
类人首,m,9999,其他,其他,A
蒙大菲/robert mondavi,f,9999,上海,金山区,C
君顶,m,9999,海外,其他,D
君顶,m,9999,海外,其他,D
君顶,m,9999,海外,其他,D
罗马假日,f,9999,福建,福州,D
力士金,m,9999,云南,昆明,B
黄尾袋鼠/yellow tail,f,9999,上海,卢湾区,B
罗马假日,m,9999,浙江,温州,D
干露/concha y toro ,m,9999,北京,其他,B
玛歌酒庄/chateau margaux,m,9999,广东,广州,B
安徒生,f,9999,上海,黄浦区,B
布朗兄弟酒庄/brown brothers,m,9999,湖南,长沙,A
罗马假日,f,9999,浙江,杭州,D
长白山 ,f,9999,北京,崇文区,A
活灵魂/almaviva,m,28,浙江,宁波,B
活灵魂/almaviva,f,28,湖北,武汉,B
活灵魂/almaviva,f,28,湖北,武汉,B
香奈/j.p.chenet ,f,9999,北京,东城区,A
活灵魂/almaviva,f,36,福建,福州,B
干露/concha y toro ,f,29,河南,郑州,B
罗莎庄园,m,9999,广东,广州,C
干露/concha y toro ,m,36,上海,虹口区,B
罗莎庄园,m,29,广东,东莞,C
卓林/zonin,f,9999,上海,静安区,A
香奈/j.p.chenet ,m,28,湖南,长沙,A
花思蝶/frescobaldi,m,55,广东,广州,B
蒙大菲/robert mondavi,m,9999,其他,其他,C
酩悦/moet&amp;chandon,f,9999,福建,其他,A
酩悦/moet&amp;chandon,f,9999,广东,广州,A
罗蒂/laudi,f,9999,广东,广州,A
卡特尔,m,9999,北京,朝阳区,A
红魔鬼/casillero del diablo,f,26,海外,美国,B
小红帽/rotkappchen ,f,28,天津,河西区,A
活灵魂/almaviva,m,28,浙江,宁波,B
波图/poto,m,9999,广东,江门,A
加州乐事,m,37,上海,宝山区,B
活灵魂/almaviva,m,28,浙江,宁波,B
华东/huadong,m,9999,其他,其他,C
华东/huadong,m,9999,其他,其他,C
莱茵黑森,f,9999,香港,中西区,A
新天/suntime,m,9999,广东,广州,C
卓林/zonin,m,9999,四川,成都,A
黄尾袋鼠/yellow tail,m,9999,北京,海淀区,B
作品一号/opus one,m,53,广东,深圳,A
华东/huadong,f,9999,其他,其他,C
华东/huadong,m,9999,山东,青岛,C
小红帽/rotkappchen ,f,9999,重庆,其他,A
杰卡斯/jacob’s creek,m,9999,辽宁,其他,B
活灵魂/almaviva,f,9999,浙江,湖州,B
黄尾袋鼠/yellow tail,m,9999,广东,广州,B
罗马假日,f,30,福建,福州,D
伊拉苏,f,9999,广东,广州,A
罗马假日,f,9999,福建,泉州,D
罗马假日,f,30,福建,福州,D
黄尾袋鼠/yellow tail,m,9999,广东,汕头,B
新天/suntime,m,9999,其他,其他,C
新天/suntime,f,9999,北京,石景山区,C
新天/suntime,f,28,安徽,芜湖,C
新天/suntime,f,30,安徽,其他,C
君顶,f,9999,其他,其他,D
玛歌酒庄/chateau margaux,m,43,北京,顺义区,B
威赛帝斯,m,37,北京,朝阳区,B
玛歌酒庄/chateau margaux,f,9999,广东,深圳,B
玛歌酒庄/chateau margaux,m,9999,广东,江门,B
活灵魂/almaviva,f,70,北京,其他,B
活灵魂/almaviva,f,9999,海外,英国,B
活灵魂/almaviva,f,70,北京,其他,B
君顶,m,9999,海外,法国,D
蒙大菲/robert mondavi,m,9999,海外,美国,C
雄狮酒庄/chateau leoville-las cases,m,37,北京,东城区,B
玛歌酒庄/chateau margaux,m,9999,广东,深圳,B
利达民/lindemans,f,32,海外,其他,B
双掌,f,9999,其他,其他,C
波图/poto,m,9999,广东,深圳,A
蒙大菲/robert mondavi,m,9999,广东,其他,C
玛歌酒庄/chateau margaux,m,9999,安徽,其他,B
蒙特斯/montes ,m,9999,广东,佛山,A
桌山/kaapzicht,m,9999,北京,西城区,A
蒙特斯/montes ,m,50,广东,深圳,A
活灵魂/almaviva,m,28,浙江,宁波,B
五女山,m,9999,辽宁,大连,A
杰卡斯/jacob’s creek,m,9999,北京,东城区,B
活灵魂/almaviva,m,28,浙江,宁波,B
活灵魂/almaviva,m,28,浙江,宁波,B
巴图,f,9999,山东,烟台,C
巴图,f,9999,福建,其他,C
巴图,f,34,山西,临汾,C
巴图,f,9999,北京,东城区,C
巴图,f,9999,浙江,杭州,C
巴图,m,9999,辽宁,抚顺,C
巴图,f,9999,其他,其他,C
巴图,f,9999,海外,英国,C
巴图,f,30,其他,其他,C
巴图,f,49,吉林,其他,C
巴图,f,28,山东,青岛,C
巴图,f,9999,福建,福州,C
巴图,f,9999,上海,普陀区,C
巴图,f,9999,其他,其他,C
卓林/zonin,f,9999,广东,深圳,A
巴图,f,9999,广东,汕头,C
巴图,f,9999,上海,普陀区,C
巴图,f,9999,湖北,武汉,C
新天/suntime,f,32,新疆,乌鲁木齐,C
通天,f,9999,其他,其他,B
卡特尔,f,9999,江苏,南京,A
黄尾袋鼠/yellow tail,f,9999,其他,其他,B
罗蒂/laudi,m,39,广东,东莞,A
罗蒂/laudi,f,29,广东,广州,A
罗蒂/laudi,m,9999,广东,广州,A
罗蒂/laudi,f,31,广东,广州,A
罗蒂/laudi,f,9999,其他,其他,A
红魔鬼/casillero del diablo,m,9999,北京,其他,B
卡特尔,m,9999,河北,唐山,A
双洋/two oceans,f,9999,广东,珠海,B
长白山 ,m,51,辽宁,沈阳,A
汉凯/henkell,m,9999,其他,其他,C
木桐嘉棣/mouton cadet,m,19,广东,佛山,B
佳得美庄园/chateau cantemerle,m,9999,台湾,其他,B
金蝴蝶/golden butterfly face,f,9999,香港,其他,C
长城/greatwall ,m,36,海外,加拿大,C
黄尾袋鼠/yellow tail,f,9999,其他,其他,B
蒙大菲/robert mondavi,m,34,广东,广州,C
路易城堡/chateau louis,f,29,北京,海淀区,B
优尼特/riunite,f,9999,安徽,合肥,D
金蝴蝶/golden butterfly face,f,9999,广东,广州,C
蒙特斯/montes ,m,9999,其他,其他,A
华东/huadong,f,9999,海外,韩国,C
华东/huadong,f,9999,海外,韩国,C
卡特尔,m,32,江苏,无锡,A
蒙特斯/montes ,m,9999,海外,美国,A
君顶,f,9999,上海,浦东新区,D
通天,m,36,广东,广州,B
木桐嘉棣/mouton cadet,m,9999,北京,朝阳区,B
蒙大菲/robert mondavi,f,9999,其他,其他,C
通天,f,9999,海外,美国,B
通天,f,34,辽宁,沈阳,B
黄尾袋鼠/yellow tail,f,9999,浙江,杭州,B
若诗庄园/rosemount,m,30,广东,汕头,B
木桐嘉棣/mouton cadet,m,9999,上海,徐汇区,B
金蝴蝶/golden butterfly face,f,9999,其他,其他,C
金蝴蝶/golden butterfly face,f,9999,香港,其他,C
奔富蔻兰山/koonunga hill,f,32,海外,澳大利亚,C
金蝴蝶/golden butterfly face,m,9999,四川,成都,C
玛歌酒庄/chateau margaux,f,9999,福建,厦门,B
菲斯奈特/freixenet,f,9999,北京,朝阳区,C
金蝴蝶/golden butterfly face,f,9999,其他,其他,C
罗莎庄园,m,9999,其他,其他,C
玛歌酒庄/chateau margaux,m,9999,广东,广州,B
桌山/kaapzicht,m,9999,上海,闵行区,A
蒙特斯/montes ,m,36,北京,朝阳区,A
黄尾袋鼠/yellow tail,f,9999,海外,英国,B
长白山 ,m,9999,吉林,长春,A
蒙特斯/montes ,f,9999,北京,其他,A
蒙特斯/montes ,f,9999,北京,其他,A
路易亚都世家/louis jadot ,m,9999,广东,广州,C
蒙特斯/montes ,f,9999,北京,其他,A
木桐嘉棣/mouton cadet,f,9999,其他,其他,B
蒙特斯/montes ,f,9999,北京,其他,A
金蝴蝶/golden butterfly face,m,9999,四川,成都,C
双洋/two oceans,f,9999,广东,广州,B
双洋/two oceans,f,30,广东,广州,B
双洋/two oceans,f,9999,广东,广州,B
双洋/two oceans,f,9999,广东,广州,B
双洋/two oceans,f,32,广东,广州,B
双洋/two oceans,f,9999,其他,其他,B
双洋/two oceans,f,9999,广东,广州,B
双洋/two oceans,m,9999,其他,其他,B
双洋/two oceans,f,9999,广东,广州,B
双洋/two oceans,f,9999,其他,其他,B
双洋/two oceans,f,9999,其他,其他,B
双洋/two oceans,m,9999,广东,肇庆,B
双洋/two oceans,f,9999,其他,其他,B
双洋/two oceans,f,9999,其他,其他,B
双洋/two oceans,f,9999,其他,其他,B
双洋/two oceans,f,9999,其他,其他,B
双洋/two oceans,f,9999,其他,其他,B
双洋/two oceans,m,9999,其他,其他,B
双洋/two oceans,m,9999,其他,其他,B
双洋/two oceans,f,9999,其他,其他,B
双洋/two oceans,m,9999,其他,其他,B
双洋/two oceans,f,31,广东,广州,B
双洋/two oceans,f,9999,其他,其他,B
双洋/two oceans,f,9999,其他,其他,B
双洋/two oceans,f,9999,其他,其他,B
双洋/two oceans,f,9999,其他,其他,B
双洋/two oceans,f,9999,其他,其他,B
双洋/two oceans,f,9999,其他,其他,B
双洋/two oceans,f,9999,其他,其他,B
通天,m,9999,香港,中西区,B
双洋/two oceans,f,9999,其他,其他,B
双洋/two oceans,m,9999,其他,其他,B
双洋/two oceans,f,9999,其他,其他,B
双洋/two oceans,m,9999,其他,其他,B
双洋/two oceans,f,9999,广东,广州,B
双洋/two oceans,m,9999,广东,广州,B
双洋/two oceans,f,9999,其他,其他,B
蒙特斯/montes ,f,9999,北京,其他,A
巴图,f,9999,其他,其他,C
活灵魂/almaviva,m,28,浙江,宁波,B
火烈鸟,f,9999,北京,宣武区,A
蒙特斯/montes ,m,9999,其他,其他,A
罗马假日,f,9999,其他,其他,D
小龙船,f,9999,其他,其他,A
活灵魂/almaviva,m,9999,其他,其他,B
华东/huadong,m,9999,其他,其他,C
玛歌酒庄/chateau margaux,m,9999,江苏,南通,B
蒙特斯/montes ,m,9999,其他,其他,A
力士金,m,9999,其他,其他,B
力士金,f,9999,其他,其他,B
奥兰,m,9999,其他,其他,A
香格里拉/shangri-la,f,9999,其他,其他,A
君顶,m,9999,其他,其他,D
巴黎庄园/cmp,f,9999,其他,其他,C
蒙特斯/montes ,f,9999,其他,其他,A
布朗兄弟酒庄/brown brothers,f,9999,其他,其他,A
蓝仙姑,m,9999,其他,其他,B
舒特家族,m,9999,其他,其他,B
干露/concha y toro ,m,9999,其他,其他,B
华东/huadong,m,9999,其他,其他,C
五女山,m,9999,辽宁,大连,A
巴黎庄园/cmp,f,9999,其他,其他,C
奔富蔻兰山/koonunga hill,f,9999,其他,其他,C
巴黎庄园/cmp,f,9999,其他,其他,C
天阶/babylonstoren,f,9999,其他,其他,A
干露/concha y toro ,m,9999,其他,其他,B
卡特尔,m,9999,其他,其他,A
也买酒/yesmywine,m,9999,其他,其他,B
华东/huadong,f,9999,海外,韩国,C
巴黎庄园/cmp,m,9999,其他,其他,C
卡特尔,f,9999,其他,其他,A
卡特尔,m,9999,其他,其他,A
香奈/j.p.chenet ,m,9999,其他,其他,A
花思蝶/frescobaldi,m,9999,其他,其他,B
木桐嘉棣/mouton cadet,m,9999,其他,其他,B
小龙船,f,9999,其他,其他,A
巴黎庄园/cmp,f,9999,其他,其他,C
巴黎庄园/cmp,f,9999,其他,其他,C
巴黎庄园/cmp,f,9999,其他,其他,C
新天/suntime,m,9999,其他,其他,C
双掌,m,9999,其他,其他,C
玛歌酒庄/chateau margaux,m,9999,其他,其他,B
木桐古堡/ch. mouton rothschild,f,9999,其他,其他,D
拿戈卢/la gloire,f,9999,其他,其他,A
拿戈卢/la gloire,f,9999,其他,其他,A
拿戈卢/la gloire,f,9999,其他,其他,A
活灵魂/almaviva,m,28,浙江,宁波,B
拿戈卢/la gloire,f,9999,其他,其他,A
拿戈卢/la gloire,f,9999,其他,其他,A
红魔鬼/casillero del diablo,f,9999,其他,其他,B
布朗兄弟酒庄/brown brothers,f,9999,其他,其他,A
威赛帝斯,f,9999,其他,其他,B
杰卡斯/jacob’s creek,m,9999,其他,其他,B
贾斯汀/divine justine,m,9999,其他,其他,A
干露/concha y toro ,m,9999,其他,其他,B
木桐嘉棣/mouton cadet,f,9999,其他,其他,B
金蝴蝶/golden butterfly face,m,9999,其他,其他,C
蒙大菲/robert mondavi,m,9999,其他,其他,C
黄尾袋鼠/yellow tail,m,9999,浙江,温州,B
长城/greatwall ,f,9999,其他,其他,C
长城/greatwall ,f,9999,其他,其他,C
华东/huadong,f,9999,其他,其他,C
红蔓庄园/tarapaca,f,9999,其他,其他,B
华东/huadong,m,9999,其他,其他,C
巴黎庄园/cmp,f,9999,其他,其他,C
蒙大菲/robert mondavi,m,9999,其他,其他,C
华东/huadong,m,9999,其他,其他,C
华东/huadong,m,9999,其他,其他,C
巴黎庄园/cmp,f,9999,其他,其他,C
活灵魂/almaviva,m,28,浙江,宁波,B
金蝴蝶/golden butterfly face,m,9999,其他,其他,C
西施佳雅,f,9999,其他,其他,A
玛歌酒庄/chateau margaux,f,9999,其他,其他,B
君顶,f,9999,其他,其他,D
若诗庄园/rosemount,m,9999,其他,其他,B
君顶,f,9999,其他,其他,D
琴韵/melodiede l'accordeon,f,9999,其他,其他,C
玛歌酒庄/chateau margaux,m,9999,其他,其他,B
玛歌酒庄/chateau margaux,m,9999,其他,其他,B
巴图,f,9999,其他,其他,C
木桐古堡/ch. mouton rothschild,f,9999,其他,其他,D
蒙特斯/montes ,m,9999,其他,其他,A
红魔鬼/casillero del diablo,f,9999,其他,其他,B
华东/huadong,m,9999,其他,其他,C
华东/huadong,m,9999,其他,其他,C
巴黎庄园/cmp,f,9999,其他,其他,C
巴黎庄园/cmp,f,9999,其他,其他,C
巴黎庄园/cmp,f,9999,其他,其他,C
华东/huadong,m,9999,其他,其他,C
尼雅/niya ,f,9999,其他,其他,C
玛歌酒庄/chateau margaux,f,9999,其他,其他,B
玛歌酒庄/chateau margaux,m,9999,其他,其他,B
小红帽/rotkappchen ,f,9999,其他,其他,A
弗莱斯凯罗/cielo e terra,f,9999,其他,其他,C
活灵魂/almaviva,f,9999,其他,其他,B
黄尾袋鼠/yellow tail,m,9999,其他,其他,B
杰卡斯/jacob’s creek,f,9999,其他,其他,B
十字木桐,m,9999,其他,其他,A
罗马假日,f,9999,其他,其他,D
杰卡斯/jacob’s creek,m,9999,其他,其他,B
罗马假日,m,9999,其他,其他,D
华东/huadong,m,9999,其他,其他,C
华东/huadong,m,9999,其他,其他,C
罗马假日,f,9999,其他,其他,D
力士金,f,9999,其他,其他,B
罗马假日,f,9999,其他,其他,D
香奈/j.p.chenet ,f,9999,其他,其他,A
罗马假日,f,9999,其他,其他,D
玛歌酒庄/chateau margaux,f,9999,其他,其他,B
拿戈卢/la gloire,f,9999,其他,其他,A
尼雅/niya ,m,9999,其他,其他,C
卡维留里/cavicchioli,m,9999,其他,其他,B
蒙特斯/montes ,m,9999,其他,其他,A
华东/huadong,m,9999,其他,其他,C
华东/huadong,m,9999,其他,其他,C
玛茜/rochemazet,f,9999,其他,其他,C
长白山 ,f,9999,其他,其他,A
加州乐事,f,9999,其他,其他,B
干露/concha y toro ,f,9999,其他,其他,B
木桐嘉棣/mouton cadet,f,9999,其他,其他,B
小红帽/rotkappchen ,f,9999,其他,其他,A
汉凯/henkell,m,9999,其他,其他,C
双掌,m,9999,其他,其他,C
火地岛,f,9999,其他,其他,A
黄尾袋鼠/yellow tail,m,9999,其他,其他,B
木桐嘉棣/mouton cadet,f,9999,其他,其他,B
集美,f,9999,其他,其他,A
尼雅/niya ,m,9999,其他,其他,C
酩悦/moet&amp;chandon,m,9999,其他,其他,A
蓝仙姑,f,9999,其他,其他,B
作品一号/opus one,m,9999,其他,其他,A
贝灵哲/beringer,f,9999,其他,其他,B
十字木桐,f,9999,其他,其他,A
玛歌酒庄/chateau margaux,m,9999,其他,其他,B
君顶,m,9999,其他,其他,D
花思蝶/frescobaldi,m,9999,其他,其他,B
集美,m,9999,其他,其他,A
罗马假日,f,9999,其他,其他,D
贝灵哲/beringer,f,9999,其他,其他,B
波图/poto,m,9999,其他,其他,A
君顶,f,9999,其他,其他,D
通天,f,9999,其他,其他,B
尼雅/niya ,m,9999,其他,其他,C
酩悦/moet&amp;chandon,f,9999,其他,其他,A
尼雅/niya ,m,9999,其他,其他,C
华东/huadong,f,9999,其他,其他,C
奔富蔻兰山/koonunga hill,m,9999,其他,其他,C
金蝴蝶/golden butterfly face,f,9999,其他,其他,C
活灵魂/almaviva,m,28,浙江,宁波,B
夏迪/hardys,f,9999,其他,其他,A
作品一号/opus one,f,9999,其他,其他,A
杰卡斯/jacob’s creek,f,9999,其他,其他,B
威赛帝斯,f,9999,其他,其他,B
小红帽/rotkappchen ,f,9999,其他,其他,A
奔富蔻兰山/koonunga hill,m,9999,其他,其他,C
木桐嘉棣/mouton cadet,f,9999,其他,其他,B
罗莎庄园,m,9999,其他,其他,C
金蝴蝶/golden butterfly face,f,9999,其他,其他,C
布朗兄弟酒庄/brown brothers,f,9999,其他,其他,A
罗马假日,f,9999,其他,其他,D
酩悦/moet&amp;chandon,m,9999,其他,其他,A
罗马假日,f,9999,其他,其他,D
华东/huadong,f,9999,其他,其他,C
小红帽/rotkappchen ,f,9999,其他,其他,A
活灵魂/almaviva,f,9999,浙江,湖州,B
长白山 ,m,9999,其他,其他,A
干露/concha y toro ,m,9999,其他,其他,B
巴黎庄园/cmp,f,9999,其他,其他,C
奔富蔻兰山/koonunga hill,m,9999,其他,其他,C
长白山 ,m,9999,其他,其他,A
玛歌酒庄/chateau margaux,m,9999,其他,其他,B
活灵魂/almaviva,m,28,浙江,宁波,B
拿戈卢/la gloire,f,9999,其他,其他,A
作品一号/opus one,m,9999,其他,其他,A
巴黎庄园/cmp,f,9999,其他,其他,C
桃乐丝/torres,f,9999,其他,其他,A
君顶,m,9999,其他,其他,D
君顶,m,9999,其他,其他,D
君顶,m,9999,其他,其他,D
君顶,f,9999,其他,其他,D
若诗庄园/rosemount,m,9999,其他,其他,B
新天/suntime,m,9999,其他,其他,C
长白山 ,f,9999,其他,其他,A
酩悦/moet&amp;chandon,f,9999,其他,其他,A
罗莎庄园,m,9999,其他,其他,C
活灵魂/almaviva,m,28,浙江,宁波,B
白洋河/baiyanghe,m,9999,其他,其他,B
酩悦/moet&amp;chandon,m,9999,其他,其他,A
活灵魂/almaviva,m,28,浙江,宁波,B
君顶,m,9999,其他,其他,D
集美,f,9999,其他,其他,A
