keyword,gender,age,country,region,level
金蝴蝶/golden butterfly face,f,9999,广东,中山,C
干露/concha y toro,f,9999,其他,其他,A
蒙大菲/robert mondavi,f,9999,北京,朝阳区,C
琴韵/melodiede l'accordeon,m,44,上海,徐汇区,C
琴韵/melodiede l'accordeon,m,44,上海,徐汇区,C
十字木桐,m,9999,广东,广州,B
君顶,f,9999,其他,其他,D
华东/huadong,m,9999,上海,黄浦区,C
小红帽/rotkappchen,f,26,湖北,武汉,B
卓林/zonin,f,9999,北京,东城区,B
君顶,m,9999,北京,朝阳区,D
玛歌酒庄/chateau margaux,f,9999,其他,其他,A
木桐嘉棣/mouton cadet,m,9999,其他,其他,A
力士金,m,36,上海,虹口区,A
罗蒂/laudi,m,9999,广东,其他,B
加州乐事,m,41,广东,深圳,A
天阶/babylonstoren,m,9999,广东,佛山,B
天阶/babylonstoren,m,9999,广东,佛山,B
玛歌酒庄/chateau margaux,m,9999,其他,其他,A
天鹅庄,m,9999,其他,其他,C
红蔓庄园/tarapaca,f,9999,海外,其他,A
十字木桐,m,9999,其他,其他,B
天阶/babylonstoren,m,9999,广东,佛山,B
君顶,m,9999,福建,厦门,D
天阶/babylonstoren,m,9999,广东,佛山,B
罗莎庄园,f,9999,北京,东城区,C
华东/huadong,m,9999,上海,南汇区,C
蒙大菲/robert mondavi,f,9999,北京,其他,C
蒙大菲/robert mondavi,m,9999,上海,长宁区,C
黄尾袋鼠/yellow tail,f,9999,其他,其他,A
罗蒂/laudi,m,9999,广东,广州,B
玛歌酒庄/chateau margaux,m,9999,其他,其他,A
木桐古堡/ch. mouton rothschild,f,9999,其他,其他,D
干露/concha y toro,m,9999,广东,深圳,A
吉家乐世家/e. guigal,f,9999,湖北,武汉,C
黄尾袋鼠/yellow tail,m,9999,其他,其他,A
舒特家族,f,9999,其他,其他,A
蒙特斯/montes,m,9999,浙江,温州,A
华东/huadong,m,9999,上海,普陀区,C
金蝴蝶/golden butterfly face,m,31,广东,湛江,C
干露/concha y toro,m,9999,江苏,苏州,A
华东/huadong,f,9999,其他,其他,C
玛歌酒庄/chateau margaux,m,9999,浙江,温州,A
小龙船,f,9999,其他,其他,B
天鹅庄,f,9999,河北,唐山,C
吉家乐世家/e. guigal,f,9999,北京,朝阳区,C
花思蝶/frescobaldi,f,31,上海,闸北区,A
路易城堡/chateau louis,f,9999,河南,郑州,A
罗马假日,f,9999,其他,其他,D
银色高地,m,9999,重庆,渝北区,B
路易亚都世家/louis jadot,f,9999,广东,阳江,C
卓林/zonin,f,9999,北京,其他,B
蓝仙姑,m,9999,台湾,台北市,A
卡特尔,f,9999,北京,丰台区,B
酩悦/moet&amp;chandon,m,9999,广东,深圳,B
威赛帝斯,m,37,北京,朝阳区,A
威赛帝斯,m,9999,江苏,南京,A
尼德堡,f,9999,其他,其他,A
酩悦/moet&amp;chandon,f,9999,其他,其他,B
汉森/hansen,f,9999,上海,长宁区,B
威赛帝斯,m,9999,其他,其他,A
华东/huadong,m,9999,山东,青岛,C
加州乐事,m,37,上海,宝山区,A
拿戈卢/la gloire,f,35,福建,福州,B
桃乐丝/torres,m,9999,其他,其他,B
干露/concha y toro,m,9999,其他,其他,A
露森/dr. loosen,m,9999,其他,其他,A
小龙船,f,9999,广东,中山,B
黄尾袋鼠/yellow tail,f,9999,江苏,南京,A
君顶,m,9999,广东,广州,D
黄尾袋鼠/yellow tail,f,9999,其他,其他,A
通天,f,9999,北京,朝阳区,A
君顶,f,9999,甘肃,武威,D
首彩/handpicked,f,9999,海外,泰国,B
首彩/handpicked,f,9999,海外,泰国,B
活灵魂/almaviva,m,28,浙江,宁波,A
活灵魂/almaviva,m,28,浙江,宁波,A
金蝴蝶/golden butterfly face,f,32,广东,广州,C
活灵魂/almaviva,m,28,浙江,宁波,A
木桐嘉棣/mouton cadet,f,9999,上海,其他,A
罗莎庄园,m,9999,北京,朝阳区,C
活灵魂/almaviva,m,28,浙江,宁波,A
小龙船,m,9999,北京,海淀区,B
罗马假日,f,9999,浙江,杭州,D
罗马假日,f,32,福建,福州,D
罗莎庄园,f,9999,其他,其他,C
罗莎庄园,f,9999,海外,澳大利亚,C
